# Y-M-D   T H:M:S     ObsNum ObsGoal       ObgPgm    SourceName                ProjectId                 RestFreq  VLSR   TINT     RA        DEC          AZ    EL
2022-04-26T04:33:37    98624  Pointing     Map       2015+371                  2021-S1-US-19                  RSR      0      99.2  303.869707  37.183198   55.0  47.9
2022-04-26T04:37:49    98625  Calibration  Cal       Cyg_X-1                   2021-S1-US-19                  RSR      0      24.3  299.590333  35.201611   56.4  52.3
2022-04-26T04:38:50    98626  Science      Bs        Cyg_X-1                   2021-S1-US-19                  RSR      0     362.5  299.590333  35.201611   56.2  52.7
2022-04-26T04:45:03    98627  Science      Bs        Cyg_X-1                   2021-S1-US-19                  RSR      0     360.4  299.590333  35.201611   55.6  53.9
2022-04-26T04:51:15    98628  Science      Bs        Cyg_X-1                   2021-S1-US-19                  RSR      0     356.7  299.590333  35.201611   55.0  55.1
2022-04-26T04:57:33    98629  Calibration  Cal       Cyg_X-1                   2021-S1-US-19                  RSR      0      24.2  299.590333  35.201611   54.2  56.3
2022-04-26T04:58:32    98630  Science      Bs        Cyg_X-1                   2021-S1-US-19                  RSR      0     361.1  299.590333  35.201611   54.1  56.5
2022-04-26T05:04:44    98631  Science      Bs        Cyg_X-1                   2021-S1-US-19                  RSR      0     362.1  299.590333  35.201611   53.3  57.7
2022-04-26T05:10:57    98632  Science      Bs        Cyg_X-1                   2021-S1-US-19                  RSR      0     361.5  299.590333  35.201611   52.3  58.9
2022-04-26T05:17:29    98633  Pointing     Map       2015+371                  2021-S1-US-19                  RSR      0      94.1  303.869707  37.183198   50.5  56.2

